merchant_id,region,city,category,tenure_days,avg_ticket,monthly_income,repeat_customer_rate,platform_commission_pct,kyc_flag,payment_success_rate,transaction_velocity,multi_product_adoption,digital_tool_usage,ai_adoption_score,agent_usage_flag,treatment_flag,treatment_start_month,intervention_timestamp
UC00000001,South,Hyderabad,salon_spa_premium,859,1205.17,47338.82,0.4738,0.2387,True,0.973,38.7,4,0.8519,0.6342,False,False,0,
UC00000002,North,Jaipur,beauty_wellness,828,1007.48,31257.31,0.4565,0.2293,True,0.9691,28.18,5,0.732,0.6147,True,False,0,
UC00000003,South,Kochi,home_cleaning,253,1811.27,59727.09,0.3257,0.2363,True,0.9607,34.63,3,0.7101,0.4523,False,True,4,2024-04-01
UC00000004,North,Lucknow,beauty_wellness,737,1116.5,49494.82,0.4299,0.2282,True,0.9794,42.24,4,0.6061,0.689,False,True,4,2024-04-01
UC00000005,West,Ahmedabad,appliance_repair,696,1016.6,30484.43,0.5431,0.1952,True,0.956,30.3,2,0.4978,0.3485,False,False,0,
UC00000006,South,Hyderabad,plumbing_electrical,713,782.22,17921.63,0.421,0.1501,True,0.9675,27.89,4,0.6554,0.5321,True,False,0,
UC00000007,West,Pune,home_cleaning,449,986.92,22409.88,0.4699,0.1974,True,0.9399,21.64,4,0.9295,0.598,False,True,5,2024-05-01
UC00000008,North,Delhi NCR,salon_spa_premium,810,1865.08,62030.3,0.3254,0.2618,True,0.9526,39.03,4,0.7435,0.5777,False,False,0,
UC00000009,North,Delhi NCR,beauty_wellness,1081,1132.08,59204.06,0.4361,0.2168,True,0.9163,50.62,4,0.522,0.5652,True,True,3,2024-03-01
UC00000010,West,Ahmedabad,beauty_wellness,1488,1145.31,26639.53,0.5721,0.2197,True,0.9585,23.7,3,0.5812,0.519,False,False,0,
UC00000011,North,Jaipur,beauty_wellness,331,1114.56,65744.69,0.5151,0.2275,True,0.9324,53.95,2,0.5179,0.3626,False,True,6,2024-06-01
UC00000012,South,Bengaluru,salon_spa_premium,614,1684.51,40821.38,0.4027,0.2294,False,0.9382,27.93,3,0.6484,0.712,False,False,0,
UC00000013,West,Mumbai,plumbing_electrical,351,777.18,37045.88,0.2966,0.1458,True,1.0,57.03,5,0.9619,0.6289,True,False,0,
UC00000014,South,Bengaluru,home_cleaning,721,1448.36,39858.76,0.6009,0.2223,True,0.9208,31.97,2,0.4506,0.433,False,True,2,2024-02-01
UC00000015,North,Chandigarh,plumbing_electrical,157,612.85,18837.17,0.4513,0.2134,True,0.9581,30.9,2,0.5468,0.4271,False,True,8,2024-08-01
UC00000016,North,Delhi NCR,home_cleaning,1888,1176.96,36449.83,0.5307,0.2279,True,0.9518,32.04,4,0.6362,0.5022,True,True,4,2024-04-01
UC00000017,South,Kochi,appliance_repair,320,1086.01,40676.6,0.2689,0.2532,True,0.9221,32.75,4,0.4539,0.6407,True,True,6,2024-06-01
UC00000018,South,Bengaluru,plumbing_electrical,218,839.92,30748.63,0.3908,0.1456,True,0.9688,40.73,4,0.6804,0.5449,True,False,0,
UC00000019,South,Hyderabad,home_cleaning,493,1219.1,41576.42,0.7162,0.2723,True,0.9674,40.82,4,0.8368,0.5096,True,False,0,
UC00000020,North,Chandigarh,beauty_wellness,652,1263.31,57803.37,0.4053,0.2466,True,0.9588,40.16,3,0.5991,0.4898,False,True,4,2024-04-01
UC00000021,South,Hyderabad,home_cleaning,536,1330.99,19290.92,0.6123,0.1817,True,0.9494,15.52,3,0.7109,0.5394,False,True,4,2024-04-01
UC00000022,East,Patna,appliance_repair,980,1216.23,52676.82,0.4592,0.2017,True,0.9553,41.95,3,0.8011,0.4681,False,True,7,2024-07-01
UC00000023,South,Bengaluru,plumbing_electrical,760,687.95,16180.81,0.6156,0.1959,True,0.9384,21.79,3,0.6087,0.5159,False,False,0,
UC00000024,South,Bengaluru,appliance_repair,706,913.92,35414.31,0.6201,0.1484,False,0.953,37.14,3,0.7502,0.3831,True,False,0,
UC00000025,West,Ahmedabad,appliance_repair,923,899.22,32256.38,0.4678,0.1962,True,0.9971,39.97,4,0.8042,0.481,True,False,0,
UC00000026,West,Surat,plumbing_electrical,812,939.21,47469.51,0.5256,0.2382,True,0.9518,42.17,3,0.3641,0.5969,False,False,0,
UC00000027,West,Surat,beauty_wellness,118,1151.12,50711.19,0.2518,0.1822,True,0.9571,40.41,3,0.5446,0.5061,True,False,0,
UC00000028,North,Chandigarh,beauty_wellness,278,1095.26,54217.11,0.463,0.2334,True,0.9224,46.23,3,0.7778,0.3247,False,False,0,
UC00000029,South,Bengaluru,plumbing_electrical,387,896.06,37596.74,0.3461,0.2138,True,0.9325,49.9,3,0.5867,0.412,False,False,0,
UC00000030,North,Lucknow,salon_spa_premium,149,1304.59,58422.36,0.2135,0.2832,True,0.9639,39.7,2,0.5283,0.3168,False,True,7,2024-07-01
UC00000031,South,Hyderabad,beauty_wellness,1059,710.32,34577.14,0.6091,0.2496,True,0.962,49.54,5,0.812,0.8525,True,False,0,
UC00000032,North,Delhi NCR,home_cleaning,594,1550.45,35492.05,0.2387,0.1921,True,0.9322,25.88,5,0.649,0.7542,True,True,4,2024-04-01
UC00000033,West,Ahmedabad,appliance_repair,539,778.76,35319.35,0.4405,0.2649,True,0.9602,50.09,4,0.8643,0.6269,False,True,5,2024-05-01
UC00000034,West,Ahmedabad,home_cleaning,245,1646.0,76711.13,0.4439,0.2128,True,0.9467,42.6,4,0.6036,0.5961,False,False,0,
UC00000035,South,Kochi,home_cleaning,837,969.2,9042.87,0.715,0.2309,True,0.9617,8.58,3,0.7685,0.4003,False,True,2,2024-02-01
