merchant_id,month,payout_amount,payout_delay_days,active_provider_month_flag,loan_offer_flag,loan_amount,loan_status,repayment_amount,working_capital_gap,loan_disbursal_time,default_flag
UC00000001,2024-01,34000.71,5.87,True,True,14060.27,defaulted,7391.42,2336.98,3.943,True
UC00000001,2024-02,35985.99,7.5,True,False,0.0,not_offered,0.0,4020.9,0.0,False
UC00000001,2024-03,21405.43,4.12,True,True,0.0,declined,0.0,6990.77,0.0,False
UC00000001,2024-04,48537.78,4.28,True,True,0.0,declined,0.0,0.0,0.0,False
UC00000001,2024-05,32265.61,6.71,True,False,0.0,not_offered,0.0,717.35,0.0,False
UC00000001,2024-06,45138.11,4.56,True,False,0.0,not_offered,0.0,0.0,0.0,False
UC00000001,2024-07,34777.11,7.43,True,True,0.0,declined,0.0,12.7,0.0,False
UC00000001,2024-08,38945.93,7.19,True,False,0.0,not_offered,0.0,2834.78,0.0,False
UC00000001,2024-09,33798.89,4.3,True,False,0.0,not_offered,0.0,4548.17,0.0,False
UC00000001,2024-10,38517.6,3.12,True,False,0.0,not_offered,0.0,5909.33,0.0,False
UC00000001,2024-11,32890.72,5.72,True,False,0.0,not_offered,0.0,4003.72,0.0,False
UC00000001,2024-12,37588.18,3.07,True,False,0.0,not_offered,0.0,3232.42,0.0,False
UC00000002,2024-01,29271.23,5.22,True,False,0.0,not_offered,0.0,0.0,0.0,False
UC00000002,2024-02,26964.91,3.26,True,False,0.0,not_offered,0.0,0.0,0.0,False
UC00000002,2024-03,26199.47,4.84,True,True,4766.23,defaulted,2943.88,116.08,2.696,True
UC00000002,2024-04,27780.67,3.57,True,False,0.0,not_offered,0.0,2783.06,0.0,False
UC00000002,2024-05,33718.48,6.44,True,False,0.0,not_offered,0.0,592.53,0.0,False
UC00000002,2024-06,27716.69,4.5,True,False,0.0,not_offered,0.0,1092.05,0.0,False
UC00000002,2024-07,29847.1,4.4,True,False,0.0,not_offered,0.0,0.0,0.0,False
UC00000002,2024-08,26736.43,3.48,True,False,0.0,not_offered,0.0,255.0,0.0,False
UC00000002,2024-09,17748.91,4.35,True,False,0.0,not_offered,0.0,1994.37,0.0,False
UC00000002,2024-10,28183.47,4.16,True,False,0.0,not_offered,0.0,215.33,0.0,False
UC00000002,2024-11,22520.51,4.38,True,True,6279.09,repaid,6510.6,4190.36,3.333,False
UC00000002,2024-12,26714.56,6.57,True,True,0.0,declined,0.0,2483.65,0.0,False
UC00000003,2024-01,26519.24,6.82,True,True,0.0,declined,0.0,7919.85,0.0,False
UC00000003,2024-02,60525.73,4.77,True,False,0.0,not_offered,0.0,0.0,0.0,False
UC00000003,2024-03,40381.0,6.88,True,False,0.0,not_offered,0.0,8285.71,0.0,False
UC00000003,2024-04,45246.9,1.0,True,False,0.0,not_offered,0.0,1788.5,0.0,False
UC00000003,2024-05,49213.8,1.32,True,False,0.0,not_offered,0.0,0.0,0.0,False
UC00000003,2024-06,53882.37,0.74,True,True,10676.81,active,1036.31,0.0,0.38,False
UC00000003,2024-07,68491.16,1.55,True,True,25666.72,repaid,26704.16,0.0,0.692,False
UC00000003,2024-08,53405.1,1.29,True,True,21352.24,repaid,21806.76,0.0,0.467,False
UC00000003,2024-09,50078.39,1.79,True,True,0.0,declined,0.0,0.0,0.0,False
UC00000003,2024-10,38652.63,0.75,True,True,0.0,declined,0.0,3269.63,0.0,False
UC00000003,2024-11,46614.66,0.9,True,False,0.0,not_offered,0.0,0.0,0.0,False
UC00000003,2024-12,45238.35,1.79,True,True,9411.25,repaid,9888.96,1977.81,0.101,False
UC00000004,2024-01,36694.57,6.84,True,True,0.0,declined,0.0,4025.77,0.0,False
UC00000004,2024-02,49272.81,3.61,True,True,11063.29,active,1292.05,4646.77,2.838,False
UC00000004,2024-03,41914.78,3.28,True,False,0.0,not_offered,0.0,922.57,0.0,False
UC00000004,2024-04,40948.97,0.6,True,True,8911.28,repaid,9175.05,0.0,0.51,False
UC00000004,2024-05,46784.67,0.57,True,False,0.0,not_offered,0.0,0.0,0.0,False
UC00000004,2024-06,36657.22,1.68,True,False,0.0,not_offered,0.0,0.0,0.0,False
UC00000004,2024-07,44762.66,1.4,True,False,0.0,not_offered,0.0,0.0,0.0,False
UC00000004,2024-08,36358.91,1.78,True,True,13848.27,repaid,14531.23,0.0,0.166,False
UC00000004,2024-09,38294.1,1.47,True,True,9562.6,repaid,9967.84,0.0,0.253,False
UC00000004,2024-10,57556.41,0.97,True,True,22407.22,active,2088.79,0.0,0.707,False
UC00000004,2024-11,36755.12,1.68,True,True,11142.95,repaid,11717.24,168.91,0.549,False
UC00000004,2024-12,41628.9,1.7,True,True,11622.29,active,562.61,0.0,0.227,False
UC00000005,2024-01,20464.06,3.71,True,False,0.0,not_offered,0.0,1820.41,0.0,False
UC00000005,2024-02,27803.25,5.54,True,True,0.0,declined,0.0,0.0,0.0,False
UC00000005,2024-03,25841.39,7.42,True,False,0.0,not_offered,0.0,4159.6,0.0,False
UC00000005,2024-04,30129.64,3.82,True,False,0.0,not_offered,0.0,1198.99,0.0,False
UC00000005,2024-05,23398.93,4.77,True,True,5246.49,active,417.38,1505.47,2.636,False
UC00000005,2024-06,21615.13,5.17,True,False,0.0,not_offered,0.0,3486.3,0.0,False
UC00000005,2024-07,25416.42,4.37,True,False,0.0,not_offered,0.0,32.31,0.0,False
UC00000005,2024-08,24848.87,3.85,True,False,0.0,not_offered,0.0,1271.65,0.0,False
UC00000005,2024-09,28673.59,3.88,True,False,0.0,not_offered,0.0,2383.23,0.0,False
