merchant_id,month,income_growth_pct,monthly_profit,retention_flag,churn_probability,treatment_flag,post_treatment_flag,lock_in_score,technology_adoption_score,advancement_score,agentic_intelligence_score,forecast_usage
UC00000001,2024-01,-0.2818,16565.64,True,0.0163,False,False,0.6294,0.8386,0.4908,0.3488,False
UC00000001,2024-02,-0.2398,16514.32,True,0.0155,False,False,0.6333,0.8386,0.5078,0.3488,False
UC00000001,2024-03,-0.5478,10369.97,True,0.0201,False,False,0.6316,0.8386,0.4051,0.3488,False
UC00000001,2024-04,0.0253,22551.19,True,0.0125,False,False,0.63,0.8386,0.6534,0.3488,False
UC00000001,2024-05,-0.3184,15466.66,True,0.0172,False,False,0.6299,0.8386,0.4697,0.3488,False
UC00000001,2024-06,-0.0465,22768.29,True,0.0138,False,False,0.6325,0.8386,0.6209,0.3488,False
UC00000001,2024-07,-0.2654,18668.48,True,0.0169,False,False,0.6289,0.8386,0.5095,0.3488,False
UC00000001,2024-08,-0.1773,18393.54,True,0.0154,False,False,0.6318,0.8386,0.5442,0.3488,False
UC00000001,2024-09,-0.286,17917.72,True,0.0167,False,False,0.6282,0.8386,0.4991,0.3488,False
UC00000001,2024-10,-0.1863,19176.6,True,0.0151,False,False,0.6315,0.8386,0.5482,0.3488,False
UC00000001,2024-11,-0.3052,13386.57,True,0.0172,False,False,0.6321,0.8386,0.4617,0.3488,False
UC00000001,2024-12,-0.206,20666.38,True,0.0152,False,False,0.6316,0.8386,0.5494,0.3488,False
UC00000002,2024-01,-0.0635,15730.37,True,0.018,False,False,0.6652,0.7678,0.6211,0.5881,False
UC00000002,2024-02,-0.1373,14071.96,True,0.0188,False,False,0.6631,0.7678,0.5768,0.7881,True
UC00000002,2024-03,-0.1618,12124.95,True,0.0187,False,False,0.6658,0.7678,0.5436,0.7881,True
UC00000002,2024-04,-0.1112,13429.54,True,0.0182,False,False,0.664,0.7678,0.5795,0.5881,False
UC00000002,2024-05,0.0787,16207.6,True,0.0167,False,False,0.6634,0.7678,0.6822,0.7881,True
UC00000002,2024-06,-0.1133,15169.75,True,0.0194,False,False,0.6604,0.7678,0.5954,0.5881,False
UC00000002,2024-07,-0.0451,15766.46,True,0.0186,False,False,0.6614,0.7678,0.6273,0.7881,True
UC00000002,2024-08,-0.1446,11562.91,True,0.0192,False,False,0.6609,0.7678,0.5481,0.5881,False
UC00000002,2024-09,-0.4322,9393.2,True,0.0243,False,False,0.6605,0.7678,0.4323,0.5881,False
UC00000002,2024-10,-0.0983,14940.05,True,0.0181,False,False,0.6656,0.7678,0.6006,0.7881,True
UC00000002,2024-11,-0.2795,12243.75,True,0.0213,False,False,0.6637,0.7678,0.4998,0.7881,True
UC00000002,2024-12,-0.1453,12071.25,True,0.0192,False,False,0.6628,0.7678,0.5568,0.5881,False
UC00000003,2024-01,-0.556,10886.96,True,0.0224,True,False,0.5455,0.7212,0.3918,0.2488,False
UC00000003,2024-02,0.0134,28347.73,True,0.0129,True,False,0.5441,0.7212,0.6431,0.2488,False
UC00000003,2024-03,-0.3239,21992.08,True,0.0179,True,False,0.5458,0.7212,0.4748,0.2488,False
UC00000003,2024-04,-0.2424,22388.89,True,0.0099,True,True,0.696,0.7212,0.5157,0.2488,False
UC00000003,2024-05,-0.176,23721.61,True,0.0089,True,True,0.6997,0.7212,0.5475,0.2488,False
UC00000003,2024-06,-0.0979,26424.46,True,0.0083,True,True,0.6975,0.7212,0.5963,0.2488,False
UC00000003,2024-07,0.1467,27416.32,True,0.0062,True,True,0.6985,0.7212,0.6922,0.2488,False
UC00000003,2024-08,-0.1058,28143.41,True,0.0083,True,True,0.6993,0.7212,0.5984,0.2488,False
UC00000003,2024-09,-0.1615,24471.17,True,0.0091,True,True,0.6935,0.7212,0.5567,0.2488,False
UC00000003,2024-10,-0.3528,18064.28,True,0.0108,True,True,0.6971,0.7212,0.4512,0.2488,False
UC00000003,2024-11,-0.2195,19878.91,True,0.0091,True,True,0.6984,0.7212,0.5114,0.2488,False
