merchant_id,month,income_growth_pct,monthly_profit,retention_flag,churn_probability,treatment_flag,post_treatment_flag,lock_in_score,technology_adoption_score,advancement_score,agentic_intelligence_score,forecast_usage
UC00000001,2024-01,-0.2818,16565.64,True,0.0137,False,False,0.5897,0.7925,0.4914,0.2985,False
UC00000001,2024-02,-0.2366,16583.21,True,0.013,False,False,0.5936,0.8013,0.5101,0.304,False
UC00000001,2024-03,-0.5214,11261.82,True,0.0164,False,False,0.5926,0.81,0.4157,0.3095,False
UC00000001,2024-04,-0.3773,14315.78,True,0.0147,False,False,0.59,0.8188,0.4405,0.315,False
UC00000001,2024-05,-0.1803,15892.99,True,0.012,False,False,0.5927,0.8275,0.5276,0.3205,False
UC00000001,2024-06,-0.5764,8775.85,True,0.0174,False,False,0.5895,0.8363,0.3971,0.326,False
UC00000001,2024-07,0.0831,27043.56,True,0.0098,False,False,0.5904,0.845,0.6996,0.3315,False
UC00000001,2024-08,-0.1771,20898.65,True,0.0125,False,False,0.5903,0.8538,0.5607,0.337,False
UC00000001,2024-09,-0.091,19046.62,True,0.0114,False,False,0.5926,0.8625,0.584,0.3425,False
UC00000001,2024-10,0.0476,24577.31,True,0.0103,False,False,0.5913,0.8713,0.673,0.348,False
UC00000001,2024-11,-0.1526,21050.5,True,0.0122,False,False,0.593,0.88,0.5692,0.3535,False
UC00000001,2024-12,-0.0186,21227.96,True,0.0106,False,False,0.5937,0.8881,0.6235,0.359,False
UC00000001,2025-01,-0.1911,20149.68,True,0.0123,False,False,0.5934,0.8962,0.5533,0.3645,False
UC00000001,2025-02,-0.2395,16518.85,True,0.013,False,False,0.5902,0.9042,0.5124,0.37,False
UC00000001,2025-03,-0.0298,24148.14,True,0.0108,False,False,0.5893,0.9123,0.6398,0.3755,False
UC00000001,2025-04,-0.2554,18905.41,True,0.0126,False,False,0.5911,0.9203,0.5152,0.381,False
UC00000001,2025-05,-0.0548,23343.34,True,0.0111,False,False,0.5881,0.9284,0.622,0.3865,False
UC00000001,2025-06,-0.1713,17609.8,True,0.0124,False,False,0.5889,0.9364,0.5458,0.392,False
UC00000001,2025-07,-0.1767,17130.25,True,0.0124,False,False,0.5873,0.9445,0.539,0.3975,False
UC00000001,2025-08,-0.4917,13150.96,True,0.0164,False,False,0.5887,0.9465,0.4232,0.403,False
UC00000001,2025-09,-0.1035,23447.48,True,0.0112,False,False,0.5929,0.9485,0.6043,0.4085,False
UC00000001,2025-10,-0.036,19642.31,True,0.0108,False,False,0.5903,0.9505,0.6093,0.414,False
UC00000001,2025-11,-0.1364,20320.83,True,0.0117,False,False,0.5921,0.9525,0.5739,0.4195,False
UC00000001,2025-12,-0.0898,19125.18,True,0.0113,False,False,0.5913,0.9545,0.5868,0.425,False
UC00000001,2026-01,-0.2502,19263.26,True,0.0126,False,False,0.5938,0.9565,0.5266,0.4305,False
UC00000001,2026-02,0.0488,27007.53,True,0.0101,False,False,0.5912,0.9585,0.6877,0.436,False
UC00000001,2026-03,0.067,24787.96,True,0.0096,False,False,0.5928,0.9605,0.6822,0.4415,False
UC00000001,2026-04,0.2864,24619.61,True,0.0081,False,False,0.5924,0.9625,0.7669,0.447,False
UC00000001,2026-05,-0.1357,20489.89,True,0.0115,False,False,0.5932,0.9645,0.5759,0.4525,False
UC00000002,2024-01,-0.2133,12983.54,True,0.0172,False,False,0.6234,0.7218,0.5374,0.7381,True
UC00000002,2024-02,-0.0049,16260.23,True,0.0151,False,False,0.6248,0.7306,0.6484,0.5436,False
UC00000002,2024-03,-0.0587,15916.61,True,0.0153,False,False,0.6255,0.7393,0.6238,0.7491,True
UC00000002,2024-04,-0.2091,11436.27,True,0.0178,False,False,0.6199,0.7481,0.5279,0.7546,True
UC00000002,2024-05,-0.2743,12710.04,True,0.018,False,False,0.6232,0.7568,0.5121,0.7601,True
UC00000002,2024-06,-0.1379,11855.08,True,0.016,False,False,0.6219,0.7656,0.5559,0.7656,True
UC00000002,2024-07,0.0708,18043.75,True,0.0146,False,False,0.6222,0.7743,0.6971,0.5711,False
UC00000002,2024-08,-0.0402,15788.3,True,0.0164,False,False,0.6223,0.7831,0.6296,0.5766,False
UC00000002,2024-09,-0.3182,10241.0,True,0.0178,False,False,0.622,0.7918,0.4708,0.7821,True
UC00000002,2024-10,-0.3506,9741.69,False,0.0173,False,False,0.6256,0.8006,0.4521,0.5876,False
UC00000002,2024-11,-1.0,0.0,False,1.0,False,False,0.0,0.782,0.0,0.6439,False
UC00000002,2024-12,-1.0,0.0,False,1.0,False,False,0.0,0.792,0.0,0.6559,False
UC00000002,2025-01,-1.0,0.0,False,1.0,False,False,0.0,0.802,0.0,0.6679,False
