transaction_id,merchant_id,timestamp,amount,customer_rating,payment_method,cancellation_flag,tip_amount,treatment_active,settlement_delay,service_completion_rate
TXN0000000001,UC00000001,2024-01-12T13:13:00,1425.75,4.33,card,False,0.0,False,1.988,0.9499
TXN0000000002,UC00000001,2024-01-25T16:30:00,954.53,3.85,card,False,73.6,False,1.7,0.9634
TXN0000000003,UC00000001,2024-01-17T17:05:00,1325.53,3.5,UPI,False,0.0,False,0.911,0.9632
TXN0000000004,UC00000001,2024-01-03T15:52:00,1464.24,4.7,UPI,False,0.0,False,2.37,0.9589
TXN0000000005,UC00000001,2024-01-09T08:47:00,1164.96,4.52,UPI,False,0.0,False,1.513,0.9434
TXN0000000006,UC00000001,2024-01-23T18:50:00,997.51,4.72,UPI,False,0.0,False,2.269,0.9721
TXN0000000007,UC00000001,2024-01-30T08:20:00,2058.51,3.52,wallet,False,0.0,False,0.674,0.9506
TXN0000000008,UC00000001,2024-01-15T14:37:00,903.7,4.03,cash,False,0.0,False,2.413,0.9624
TXN0000000009,UC00000001,2024-01-04T10:26:00,1220.33,4.56,UPI,False,64.81,False,0.712,0.9589
TXN0000000010,UC00000001,2024-01-08T09:11:00,1260.97,4.2,UPI,False,0.0,False,0.658,0.9529
TXN0000000011,UC00000001,2024-01-02T18:28:00,894.43,3.38,UPI,False,99.17,False,2.225,0.9585
TXN0000000012,UC00000001,2024-01-26T13:16:00,1009.69,4.32,card,False,0.0,False,2.571,0.9572
TXN0000000013,UC00000001,2024-01-05T07:58:00,982.5,4.7,UPI,False,0.0,False,0.769,0.9395
TXN0000000014,UC00000001,2024-01-20T10:33:00,1169.38,4.75,UPI,False,37.38,False,2.419,0.9483
TXN0000000015,UC00000001,2024-01-20T13:11:00,1309.78,4.22,UPI,False,0.0,False,2.114,0.9689
TXN0000000016,UC00000001,2024-01-30T17:59:00,1169.36,5.0,UPI,False,61.52,False,1.614,0.969
TXN0000000017,UC00000001,2024-01-19T11:10:00,1295.4,3.69,UPI,False,0.0,False,0.728,0.9427
TXN0000000018,UC00000001,2024-01-13T15:37:00,1554.26,4.51,card,False,0.0,False,2.121,0.9527
TXN0000000019,UC00000001,2024-01-10T14:48:00,1539.27,4.36,netbanking,False,0.0,False,2.312,0.9588
TXN0000000020,UC00000001,2024-01-28T07:34:00,1189.53,4.03,UPI,False,0.0,False,1.763,0.9459
TXN0000000021,UC00000001,2024-01-04T17:13:00,1546.87,4.24,card,True,0.0,False,1.037,0.9616
TXN0000000022,UC00000001,2024-01-10T16:21:00,1115.64,3.73,UPI,False,0.0,False,2.005,0.9669
TXN0000000023,UC00000001,2024-01-04T17:32:00,1063.55,4.54,UPI,False,0.0,False,2.241,0.9617
TXN0000000024,UC00000001,2024-01-13T09:48:00,1181.54,4.51,cash,False,32.43,False,1.903,0.9757
TXN0000000025,UC00000001,2024-01-27T11:17:00,1153.28,4.18,netbanking,False,64.48,False,0.987,0.9749
TXN0000000026,UC00000001,2024-01-06T07:11:00,1337.31,4.63,UPI,False,0.0,False,1.761,0.9699
TXN0000000027,UC00000001,2024-01-03T17:08:00,996.59,4.29,UPI,False,0.0,False,0.777,0.9542
TXN0000000028,UC00000001,2024-01-12T13:01:00,1403.59,4.6,UPI,False,0.0,False,1.787,0.9805
TXN0000000029,UC00000001,2024-01-29T12:28:00,950.47,3.99,UPI,False,0.0,False,2.072,0.9601
TXN0000000030,UC00000001,2024-01-06T08:59:00,1428.59,4.09,UPI,True,0.0,False,1.341,0.9627
TXN0000000031,UC00000001,2024-02-18T18:30:00,923.32,4.46,card,False,0.0,False,1.287,0.9418
TXN0000000032,UC00000001,2024-02-22T19:02:00,1097.84,3.83,cash,False,0.0,False,2.85,0.9502
TXN0000000033,UC00000001,2024-02-14T13:13:00,1362.59,4.9,UPI,False,0.0,False,2.714,0.9488
TXN0000000034,UC00000001,2024-02-24T16:11:00,821.32,3.93,wallet,True,0.0,False,2.24,0.9592
TXN0000000035,UC00000001,2024-02-23T13:12:00,901.08,4.46,UPI,False,0.0,False,2.564,0.9738
TXN0000000036,UC00000001,2024-02-01T10:33:00,1049.51,4.14,wallet,True,0.0,False,2.146,0.9515
TXN0000000037,UC00000001,2024-02-07T14:41:00,1753.06,4.19,UPI,False,0.0,False,1.257,0.9527
TXN0000000038,UC00000001,2024-02-26T17:51:00,1382.85,3.74,UPI,False,0.0,False,1.305,0.9811
TXN0000000039,UC00000001,2024-02-12T10:04:00,1394.25,3.83,UPI,False,0.0,False,2.693,0.9584
TXN0000000040,UC00000001,2024-02-15T19:25:00,1776.17,4.61,card,False,27.22,False,1.583,0.971
TXN0000000041,UC00000001,2024-02-28T11:17:00,983.43,4.33,card,False,0.0,False,2.679,0.937
TXN0000000042,UC00000001,2024-02-16T11:51:00,1449.7,4.06,UPI,False,0.0,False,0.989,0.9665
TXN0000000043,UC00000001,2024-02-26T15:14:00,1333.08,4.29,wallet,False,0.0,False,2.871,0.9639
TXN0000000044,UC00000001,2024-02-20T11:27:00,1078.59,4.16,UPI,False,0.0,False,2.104,0.9744
TXN0000000045,UC00000001,2024-02-28T07:43:00,1143.76,3.42,UPI,True,0.0,False,0.733,0.9465
