feature,correlation_with_target,abs_correlation
post_treatment_flag,0.9165900043281592,0.9165900043281592
treatment_flag,0.816513328029655,0.816513328029655
treatment_flag_merchant,0.816513328029655,0.816513328029655
months_since_intervention,0.720831339417637,0.720831339417637
treatment_start_month,0.5971491797000338,0.5971491797000338
payout_delay_days_rolling3,-0.5941100250221482,0.5941100250221482
payout_pain_gap,0.38623144348743566,0.38623144348743566
payout_delay_days_lag1_imputed,-0.38392324058670313,0.38392324058670313
settlement_credit_stress,-0.3805765514994861,0.3805765514994861
working_capital_gap_lag1,-0.2905097699736993,0.2905097699736993
working_capital_gap_rolling3,-0.27500119152116,0.27500119152116
lock_in_score_lag1,0.26923583365396686,0.26923583365396686
rating_rolling3,0.2667458231130029,0.2667458231130029
kyc_flag,0.23076529060638207,0.23076529060638207
lockin_resilience_score,0.22197427839370104,0.22197427839370104
repayment_pressure_index,-0.21850833064305114,0.21850833064305114
credit_offer_mismatch,-0.2170803456192035,0.2170803456192035
loan_amount_lag1,0.2011136719384109,0.2011136719384109
loan_offer_flag_lag1,0.19638702237187375,0.19638702237187375
digital_finance_readiness,0.18761677543146885,0.18761677543146885
digital_growth_index,0.176816609761664,0.176816609761664
credit_dependency_score,-0.13775873480391104,0.13775873480391104
multi_product_adoption,0.12333210740156539,0.12333210740156539
payout_volatility_rolling3,0.10948619753115717,0.10948619753115717
cancellation_rate_rolling3,-0.1060390468199536,0.1060390468199536
technology_adoption_score_lag1,0.09848428426897222,0.09848428426897222
tenure_days,0.09444710019455471,0.09444710019455471
digital_tool_usage,0.09246474032056848,0.09246474032056848
agentic_productivity_signal,0.064630402363289,0.064630402363289
ai_adoption_score,0.06299174442957056,0.06299174442957056
pre_treatment_flag,-0.060344597197938346,0.060344597197938346
repeat_customer_rate,0.05952449844744018,0.05952449844744018
primary_credit_need_prior,-0.0515913950062381,0.0515913950062381
primary_growth_prior,0.04968546361155735,0.04968546361155735
income_growth_pct_lag1,0.04806767161101503,0.04806767161101503
platform_commission_pct,0.04563445086289775,0.04563445086289775
primary_repeat_customer_prior,0.045064690316887965,0.045064690316887965
avg_ticket,0.04384118275085947,0.04384118275085947
primary_ai_usage_prior,-0.043657242300366036,0.043657242300366036
agentic_intelligence_score_lag1,0.035841359542162,0.035841359542162
primary_cashflow_stress_prior,0.02963386027948882,0.02963386027948882
payment_success_rate,0.02818711238159383,0.02818711238159383
monthly_income,0.02652584930988259,0.02652584930988259
cash_to_digital_transition_score,0.025755943238782067,0.025755943238782067
primary_settlement_pain_prior,0.024741435817885262,0.024741435817885262
primary_faster_payout_prior,0.024741435817885262,0.024741435817885262
primary_digital_adoption_prior,0.021938880897629687,0.021938880897629687
forecast_usage_lag1,0.017077443319109334,0.017077443319109334
agent_usage_flag,0.013943930865872149,0.013943930865872149
primary_credit_amount_prior,-0.008185979125000593,0.008185979125000593
transaction_velocity,0.007336476626192381,0.007336476626192381
active_provider_month_flag_lag1,-0.006218893233399557,0.006218893233399557
primary_upi_frequency_prior,,
