feature,correlation_with_target,abs_correlation
loan_to_payout_ratio,0.19632929660486692,0.19632929660486692
loan_to_income_ratio,0.19102356601784962,0.19102356601784962
repayment_gap_ratio,0.18193657249679068,0.18193657249679068
repayment_ratio,0.10938181321726972,0.10938181321726972
liquidity_stress_index,0.037927510295891385,0.037927510295891385
city_Hyderabad,0.021911591837221966,0.021911591837221966
payout_delay_days_lag1_imputed,-0.017899865706772877,0.017899865706772877
city_Ahmedabad,-0.017695429256695705,0.017695429256695705
income_growth_pct_lag1,-0.01645305176286727,0.01645305176286727
cancellation_rate_rolling3,-0.016180560101228602,0.016180560101228602
city_Bhubaneswar,-0.015759797444057876,0.015759797444057876
working_capital_gap_rolling3,-0.015237280282880291,0.015237280282880291
city_Patna,0.01523257839867083,0.01523257839867083
category_home_cleaning,0.014753705296337717,0.014753705296337717
city_Chandigarh,-0.014647047533509934,0.014647047533509934
city_Delhi NCR,0.014639601057833658,0.014639601057833658
credit_dependency_score,-0.013881595886159103,0.013881595886159103
lock_in_score_lag1,0.013392287505442907,0.013392287505442907
forecast_usage_lag1,0.012864281847065761,0.012864281847065761
agent_usage_flag,0.012373374122567402,0.012373374122567402
multi_product_adoption,0.012271505645602386,0.012271505645602386
agentic_intelligence_score_lag1,0.01127409642293521,0.01127409642293521
monthly_income,-0.0098229123078895,0.0098229123078895
city_Mumbai,0.009575045732077342,0.009575045732077342
payout_delay_days_rolling3,-0.009333531387864434,0.009333531387864434
avg_ticket,-0.009237064471841293,0.009237064471841293
repeat_customer_rate,0.009234685031612058,0.009234685031612058
city_Kochi,-0.008412595277536202,0.008412595277536202
region_West,-0.008200445260069706,0.008200445260069706
kyc_flag,0.00794645201068987,0.00794645201068987
category_appliance_repair,-0.007903816105833083,0.007903816105833083
city_Bengaluru,-0.007884445522169554,0.007884445522169554
city_Pune,-0.007541014049759741,0.007541014049759741
region_North,0.007404050592860887,0.007404050592860887
tenure_days,0.006979949219235032,0.006979949219235032
city_Jaipur,0.0068149665917592,0.0068149665917592
working_capital_gap_lag1,-0.0064702151521428275,0.0064702151521428275
city_Chennai,-0.0054057233308623534,0.0054057233308623534
digital_readiness,0.005278087560753995,0.005278087560753995
ai_adoption_score,0.005011444244154596,0.005011444244154596
loan_amount_lag1,-0.004738444727653528,0.004738444727653528
category_plumbing_electrical,-0.004527666077321419,0.004527666077321419
digital_tool_usage,-0.004249347699560515,0.004249347699560515
city_Guwahati,0.0042250357516831,0.0042250357516831
payout_volatility_rolling3,-0.0037882463834877362,0.0037882463834877362
city_Kolkata,0.0036206614311335467,0.0036206614311335467
category_salon_spa_premium,-0.0031577408577225467,0.0031577408577225467
rating_rolling3,0.002722303758564418,0.002722303758564418
payment_success_rate,-0.0026546884795640453,0.0026546884795640453
city_Lucknow,0.00239965208523703,0.00239965208523703
active_provider_month_flag_lag1,0.0022732558013699926,0.0022732558013699926
region_East,0.0014409361099546158,0.0014409361099546158
prior_default_count,-0.0012109562566712112,0.0012109562566712112
loan_offer_flag_lag1,-0.0010903229865346495,0.0010903229865346495
category_beauty_wellness,0.0010899606144444247,0.0010899606144444247
prior_default_flag,-0.0006373756588477544,0.0006373756588477544
technology_adoption_score_lag1,0.0004521055869033595,0.0004521055869033595
region_South,-0.0003795749117717093,0.0003795749117717093
city_Surat,-0.0003036975265854194,0.0003036975265854194
transaction_velocity,-0.00023173230478257202,0.00023173230478257202
platform_commission_pct,0.0001880717078347451,0.0001880717078347451
