model,metric,before,after,delta
loan_default_prediction,accuracy,0.8728070175438597,0.9832134292565947,0.11040641171273502
loan_default_prediction,precision,0.108695652173913,0.125,0.016304347826087
loan_default_prediction,recall,0.2272727272727272,0.08695652173913043,-0.14031620553359678
loan_default_prediction,roc_auc,0.6829702555509007,0.5722388563235357,-0.11073139922736508
loan_default_prediction,threshold,0.13,0.9,0.77
loan_default_prediction,positive_rate,0.0482456140350877,0.011031175059952039,-0.03721443897513566
loan_default_prediction,tp,5.0,2.0,-3.0
loan_default_prediction,tn,393.0,2048.0,1655.0
loan_default_prediction,fp,41.0,14.0,-27.0
loan_default_prediction,fn,17.0,21.0,4.0
embedded_finance_adoption,accuracy,0.564,0.9756,0.4116000000000001
embedded_finance_adoption,precision,0.5369458128078818,0.9536934950385888,0.416747682230707
embedded_finance_adoption,recall,0.8790322580645161,0.9785067873303167,0.09947452926580058
embedded_finance_adoption,roc_auc,0.604710701484895,0.9984228697190987,0.39371216823420363
embedded_finance_adoption,threshold,0.3699999999999999,0.45999999999999996,0.09000000000000008
embedded_finance_adoption,positive_rate,0.496,0.3536,-0.14239999999999997
embedded_finance_adoption,tp,109.0,865.0,756.0
embedded_finance_adoption,tn,32.0,1574.0,1542.0
embedded_finance_adoption,fp,94.0,42.0,-52.0
embedded_finance_adoption,fn,15.0,19.0,4.0
