model,metric,before,after,delta
loan_default_prediction,accuracy,0.8728070175438597,0.9779376498800959,0.10513063233623621
loan_default_prediction,precision,0.108695652173913,0.04,-0.06869565217391299
loan_default_prediction,recall,0.2272727272727272,0.043478260869565216,-0.183794466403162
loan_default_prediction,roc_auc,0.6829702555509007,0.592670686964956,-0.09029956858594479
loan_default_prediction,threshold,0.13,0.9,0.77
loan_default_prediction,positive_rate,0.0482456140350877,0.011031175059952039,-0.03721443897513566
loan_default_prediction,tp,5.0,1.0,-4.0
loan_default_prediction,tn,393.0,2038.0,1645.0
loan_default_prediction,fp,41.0,24.0,-17.0
loan_default_prediction,fn,17.0,22.0,5.0
embedded_finance_adoption,accuracy,0.564,0.9804,0.4164000000000001
embedded_finance_adoption,precision,0.5369458128078818,0.96962879640045,0.4326829835925682
embedded_finance_adoption,recall,0.8790322580645161,0.9751131221719457,0.09608086410742955
embedded_finance_adoption,roc_auc,0.604710701484895,0.998781976613951,0.39407127512905593
embedded_finance_adoption,threshold,0.3699999999999999,0.49,0.1200000000000001
embedded_finance_adoption,positive_rate,0.496,0.3536,-0.14239999999999997
embedded_finance_adoption,tp,109.0,862.0,753.0
embedded_finance_adoption,tn,32.0,1589.0,1557.0
embedded_finance_adoption,fp,94.0,27.0,-67.0
embedded_finance_adoption,fn,15.0,22.0,7.0
