model,metric,value
churn_prediction,accuracy,0.973
churn_prediction,precision,0.9584775086505191
churn_prediction,recall,0.8005780346820809
churn_prediction,roc_auc,0.9340095221086288
churn_prediction,threshold,0.37999999999999995
churn_prediction,positive_rate,0.11533333333333333
churn_prediction,tp,277.0
churn_prediction,tn,2642.0
churn_prediction,fp,12.0
churn_prediction,fn,69.0
loan_default_prediction,accuracy,0.8728070175438597
loan_default_prediction,precision,0.10869565217391304
loan_default_prediction,recall,0.22727272727272727
loan_default_prediction,roc_auc,0.6829702555509007
loan_default_prediction,threshold,0.13
loan_default_prediction,positive_rate,0.04824561403508772
loan_default_prediction,tp,5.0
loan_default_prediction,tn,393.0
loan_default_prediction,fp,41.0
loan_default_prediction,fn,17.0
income_growth_prediction,rmse,0.10511536325634434
income_growth_prediction,mae,0.0778908328579132
income_growth_prediction,r2,0.8635121007596855
income_growth_prediction,directional_accuracy,0.903
embedded_finance_adoption,accuracy,0.564
embedded_finance_adoption,precision,0.5369458128078818
embedded_finance_adoption,recall,0.8790322580645161
embedded_finance_adoption,roc_auc,0.604710701484895
embedded_finance_adoption,threshold,0.36999999999999994
embedded_finance_adoption,positive_rate,0.496
embedded_finance_adoption,tp,109.0
embedded_finance_adoption,tn,32.0
embedded_finance_adoption,fp,94.0
embedded_finance_adoption,fn,15.0
