model,target,metric,value
churn_prediction,churn_target_tplus1,accuracy,0.9776666666666667
churn_prediction,churn_target_tplus1,precision,1.0
churn_prediction,churn_target_tplus1,recall,0.926655719759168
churn_prediction,churn_target_tplus1,f1,0.9619318181818182
churn_prediction,churn_target_tplus1,roc_auc,0.96719088791277
churn_prediction,churn_target_tplus1,threshold,0.7000000000000001
churn_prediction,churn_target_tplus1,positive_rate,0.3045
churn_prediction,churn_target_tplus1,tp,1693.0
churn_prediction,churn_target_tplus1,tn,4173.0
churn_prediction,churn_target_tplus1,fp,0.0
churn_prediction,churn_target_tplus1,fn,134.0
loan_default_prediction,default_next_cycle,accuracy,0.784
loan_default_prediction,default_next_cycle,precision,0.009295120061967466
loan_default_prediction,default_next_cycle,recall,0.41379310344827586
loan_default_prediction,default_next_cycle,f1,0.01818181818181818
loan_default_prediction,default_next_cycle,roc_auc,0.7060505084921951
loan_default_prediction,default_next_cycle,threshold,0.66
loan_default_prediction,default_next_cycle,positive_rate,0.004833333333333334
loan_default_prediction,default_next_cycle,tp,12.0
loan_default_prediction,default_next_cycle,tn,4692.0
loan_default_prediction,default_next_cycle,fp,1279.0
loan_default_prediction,default_next_cycle,fn,17.0
embedded_finance_adoption,embedded_finance_adoption_tplus1,accuracy,0.568
embedded_finance_adoption,embedded_finance_adoption_tplus1,precision,0.5158730158730159
embedded_finance_adoption,embedded_finance_adoption_tplus1,recall,0.8552631578947368
embedded_finance_adoption,embedded_finance_adoption_tplus1,f1,0.6435643564356437
embedded_finance_adoption,embedded_finance_adoption_tplus1,roc_auc,0.6119952915376677
embedded_finance_adoption,embedded_finance_adoption_tplus1,threshold,0.4
embedded_finance_adoption,embedded_finance_adoption_tplus1,positive_rate,0.456
embedded_finance_adoption,embedded_finance_adoption_tplus1,tp,2340.0
embedded_finance_adoption,embedded_finance_adoption_tplus1,tn,1068.0
embedded_finance_adoption,embedded_finance_adoption_tplus1,fp,2196.0
embedded_finance_adoption,embedded_finance_adoption_tplus1,fn,396.0
income_growth_prediction,income_growth_tplus1,rmse,0.2094276093579454
income_growth_prediction,income_growth_tplus1,mae,0.13817439996175
income_growth_prediction,income_growth_tplus1,r2,0.8228995229892555
income_growth_prediction,income_growth_tplus1,directional_accuracy,0.6705
