merchant_id,region,city,category,tenure_days,avg_ticket,monthly_income,repeat_customer_rate,platform_commission_pct,kyc_flag,payment_success_rate,transaction_velocity,multi_product_adoption,digital_tool_usage,ai_adoption_score,agent_usage_flag,treatment_flag,treatment_start_month,intervention_timestamp
UC00000001,South,Hyderabad,salon_spa_premium,859,1205.17,47338.82,0.4738,0.2387,True,0.9717,38.26,3,0.8019,0.5427,False,False,0,
UC00000002,North,Jaipur,beauty_wellness,828,1007.48,31257.31,0.4565,0.2293,True,0.9678,27.85,4,0.682,0.5239,True,False,0,
UC00000003,South,Kochi,home_cleaning,253,1811.27,59727.09,0.3257,0.2363,True,0.9594,34.22,3,0.6601,0.3754,False,True,7,2024-07-01
UC00000004,North,Lucknow,beauty_wellness,737,1116.5,49494.82,0.4299,0.2282,True,0.9781,41.72,4,0.5561,0.5912,False,True,7,2024-07-01
UC00000005,West,Ahmedabad,appliance_repair,696,1016.6,30484.43,0.5431,0.1952,True,0.9548,29.92,2,0.4478,0.2782,False,False,0,
UC00000006,South,Hyderabad,plumbing_electrical,713,782.22,17921.63,0.421,0.1501,True,0.9663,27.56,4,0.6054,0.4477,True,False,0,
UC00000007,West,Pune,home_cleaning,449,986.92,22409.88,0.4699,0.1974,True,0.9386,21.39,3,0.8795,0.5104,False,True,10,2024-10-01
UC00000008,North,Delhi NCR,salon_spa_premium,810,1865.08,62030.3,0.3254,0.2618,True,0.9514,38.57,3,0.6935,0.4901,False,False,0,
UC00000009,North,Delhi NCR,beauty_wellness,1081,1132.08,59204.06,0.4361,0.2168,True,0.915,50.0,3,0.472,0.4768,True,True,5,2024-05-01
UC00000010,West,Ahmedabad,beauty_wellness,1488,1145.31,26639.53,0.5721,0.2197,True,0.9572,23.41,2,0.5312,0.4346,False,False,0,
UC00000011,North,Jaipur,beauty_wellness,331,1114.56,65744.69,0.5151,0.2275,True,0.9312,53.29,2,0.4679,0.2917,False,True,12,2024-12-01
UC00000012,South,Bengaluru,salon_spa_premium,614,1684.51,40821.38,0.4027,0.2294,False,0.937,27.59,3,0.5984,0.6126,False,False,0,
UC00000013,West,Mumbai,plumbing_electrical,351,777.18,37045.88,0.2966,0.1458,True,0.9993,56.39,4,0.9119,0.5391,True,False,0,
UC00000014,South,Bengaluru,home_cleaning,721,1448.36,39858.76,0.6009,0.2223,True,0.9195,31.56,2,0.4006,0.3554,False,True,2,2024-02-01
UC00000015,North,Chandigarh,plumbing_electrical,157,612.85,18837.17,0.4513,0.2134,True,0.9568,30.52,2,0.4968,0.3511,False,True,16,2025-04-01
UC00000016,North,Delhi NCR,home_cleaning,1888,1176.96,36449.83,0.5307,0.2279,True,0.9506,31.66,4,0.5862,0.4192,True,True,6,2024-06-01
UC00000017,South,Kochi,appliance_repair,320,1086.01,40676.6,0.2689,0.2532,True,0.9208,32.34,3,0.4039,0.5461,True,True,13,2025-01-01
UC00000018,South,Bengaluru,plumbing_electrical,218,839.92,30748.63,0.3908,0.1456,True,0.9675,40.24,4,0.6304,0.4601,True,False,0,
UC00000019,South,Hyderabad,home_cleaning,493,1219.1,41576.42,0.7162,0.2723,True,0.9662,40.36,4,0.7868,0.4287,True,False,0,
UC00000020,North,Chandigarh,beauty_wellness,652,1263.31,57803.37,0.4053,0.2466,True,0.9575,39.67,2,0.5491,0.4086,False,True,8,2024-08-01
UC00000021,South,Hyderabad,home_cleaning,536,1330.99,19290.92,0.6123,0.1817,True,0.9482,15.34,3,0.6609,0.455,False,True,9,2024-09-01
UC00000022,East,Patna,appliance_repair,980,1216.23,52676.82,0.4592,0.2017,True,0.954,41.46,3,0.7511,0.3899,False,True,16,2025-04-01
UC00000023,South,Bengaluru,plumbing_electrical,760,687.95,16180.81,0.6156,0.1959,True,0.9372,21.52,3,0.5587,0.4325,False,False,0,
UC00000024,South,Bengaluru,appliance_repair,706,913.92,35414.31,0.6201,0.1484,False,0.9517,36.71,3,0.7002,0.3119,True,False,0,
UC00000025,West,Ahmedabad,appliance_repair,923,899.22,32256.38,0.4678,0.1962,True,0.9959,39.51,3,0.7542,0.4019,False,False,0,
UC00000026,West,Surat,plumbing_electrical,812,939.21,47469.51,0.5256,0.2382,True,0.9505,41.62,2,0.3141,0.5049,False,False,0,
