merchant_id,month,target_month,default_probability,predicted_class,split,risk_band,city,business_type,loan_amount,payout_amount,working_capital_gap,default_flag
UC00000001,2024-01,2024-02,0.5070718134059693,0,train,Medium,Hyderabad,salon_spa_premium,14060.27,34000.71,2472.99,True
UC00000001,2024-02,2024-03,0.3918778755855159,0,train,Medium,Hyderabad,salon_spa_premium,0.0,36137.31,4127.9,False
UC00000001,2024-03,2024-04,0.3455353250986679,0,train,Medium,Hyderabad,salon_spa_premium,0.0,22658.64,6091.93,False
UC00000001,2024-04,2024-05,0.309581024888689,0,train,Medium,Hyderabad,salon_spa_premium,0.0,29479.85,2013.92,False
UC00000001,2024-05,2024-06,0.2869046945335916,0,train,Low,Hyderabad,salon_spa_premium,0.0,38805.87,4619.27,False
UC00000001,2024-06,2024-07,0.3818016250080615,0,train,Medium,Hyderabad,salon_spa_premium,6838.17,20052.36,7578.94,False
UC00000001,2024-07,2024-08,0.3408254624392052,0,train,Medium,Hyderabad,salon_spa_premium,0.0,51274.0,2367.8,False
UC00000001,2024-08,2024-09,0.2836531386589111,0,train,Low,Hyderabad,salon_spa_premium,0.0,38952.96,5821.24,False
UC00000001,2024-09,2024-10,0.3860112886659544,0,train,Medium,Hyderabad,salon_spa_premium,0.0,43033.31,2366.8,False
UC00000001,2024-10,2024-11,0.4416166670905208,0,train,Medium,Hyderabad,salon_spa_premium,0.0,49593.41,330.01,False
UC00000001,2024-11,2024-12,0.4358227810202321,0,train,Medium,Hyderabad,salon_spa_premium,15177.58,40113.75,5590.83,False
UC00000001,2024-12,2025-01,0.6762893701557059,1,train,Medium,Hyderabad,salon_spa_premium,0.0,46457.04,0.0,False
UC00000001,2025-01,2025-02,0.4031555539552612,0,train,Medium,Hyderabad,salon_spa_premium,10164.31,38293.82,5231.03,False
UC00000001,2025-02,2025-03,0.6090477285289281,0,train,Medium,Hyderabad,salon_spa_premium,0.0,36001.34,482.09,False
UC00000001,2025-03,2025-04,0.3101756998872398,0,train,Medium,Hyderabad,salon_spa_premium,0.0,45926.98,2780.97,False
UC00000001,2025-04,2025-05,0.4216530362206428,0,train,Medium,Hyderabad,salon_spa_premium,0.0,35249.38,811.86,False
UC00000001,2025-05,2025-06,0.2852601131112769,0,train,Low,Hyderabad,salon_spa_premium,0.0,44746.31,2255.7,False
UC00000001,2025-06,2025-07,0.4361360764744475,0,train,Medium,Hyderabad,salon_spa_premium,0.0,39228.49,0.0,False
UC00000001,2025-07,2025-08,0.3676610267135389,0,train,Medium,Hyderabad,salon_spa_premium,0.0,38971.69,2156.54,False
UC00000001,2025-08,2025-09,0.461727428027296,0,train,Medium,Hyderabad,salon_spa_premium,0.0,24061.03,8028.24,False
UC00000001,2025-09,2025-10,0.4964826749559912,0,train,Medium,Hyderabad,salon_spa_premium,0.0,42441.57,3588.94,False
UC00000001,2025-10,2025-11,0.4597031291923235,0,train,Medium,Hyderabad,salon_spa_premium,0.0,45636.86,0.0,False
UC00000001,2025-11,2025-12,0.3771029449497628,0,test,Medium,Hyderabad,salon_spa_premium,0.0,40880.8,3393.33,False
UC00000001,2025-12,2026-01,0.510939861648093,0,test,Medium,Hyderabad,salon_spa_premium,0.0,43089.09,0.0,False
UC00000001,2026-01,2026-02,0.4688608700683809,0,test,Medium,Hyderabad,salon_spa_premium,7338.17,35495.32,3766.02,False
UC00000001,2026-02,2026-03,0.5130066136752757,0,test,Medium,Hyderabad,salon_spa_premium,0.0,49648.93,2793.27,False
UC00000001,2026-03,2026-04,0.5615427431690433,0,test,Medium,Hyderabad,salon_spa_premium,0.0,50510.22,0.0,False
UC00000001,2026-04,2026-05,0.3696117917676981,0,test,Medium,Hyderabad,salon_spa_premium,0.0,60896.31,0.0,False
UC00000002,2024-01,2024-02,0.4965248195810823,0,train,Medium,Jaipur,beauty_wellness,0.0,24589.47,2534.61,False
UC00000002,2024-02,2024-03,0.3407523143072772,0,train,Medium,Jaipur,beauty_wellness,0.0,31103.61,2386.47,False
UC00000002,2024-03,2024-04,0.3911114221103301,0,train,Medium,Jaipur,beauty_wellness,0.0,29423.32,1781.92,False
UC00000002,2024-04,2024-05,0.367699482595241,0,train,Medium,Jaipur,beauty_wellness,0.0,24722.78,3132.04,False
UC00000002,2024-05,2024-06,0.3915469458152328,0,train,Medium,Jaipur,beauty_wellness,8554.09,22683.44,1504.53,False
UC00000002,2024-06,2024-07,0.4351673455045334,0,train,Medium,Jaipur,beauty_wellness,0.0,26947.53,1565.19,False
